,buyers,contract_value,suppliers
144,Instituto Nacional de Antropología e Historia,9946855.53,PROFESIONALES EN MANTENIMIENTO Y LIMPIEZA S A DE C V
145,Instituto Nacional de Antropología e Historia,2799999.26,EFECTIVALE S DE RL DE  CV
146,Comisión Nacional del Agua,17000,MUNICIPIO DE GUADALUPE ZAC
147,delegación SEDESOL en Tabasco,6778.19,COMITE DE APOYO PARA LA ADMINISTRACION DE INMUEBLE FEDERAL SCT SEDESOL VILLAHERMOSA
148,Servicio de Administración Tributaria,5068,SERVICIO POSTAL  MEXICANO
149,Servicio de Administración Tributaria,4217.16,SERVICIO POSTAL  MEXICANO
150,Instituto Mexicano de Cinematografía,834749.88,INSTITUTO MEXICANO DE LA RADIO
151,delegación SEDESOL en Tabasco,7318.44,ROBERTO CONTRERAS ESQUIVEL
152,Servicio de Administración Tributaria,43.62,"ENTREGAS OPORTUNAS DE OCCIDENTE, SA DE C"
153,Servicio de Administración Tributaria,6442.03,ESTAFETA MEXICANA SA DE CV
154,delegación SEDESOL en Tabasco,78258,CONSORCIO LEMON SA DE CV
155,delegación SEDESOL en Tabasco,79.02,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
156,Instituto Nacional de Antropología e Historia,491770.4,ADERHEL S CLUB SA DE CV
157,Instituto Nacional de Antropología e Historia,1200.6,ROOST CONTROL DE PLAGAS Y SERVICIOS SA DE CV
158,delegación SEDESOL en Tabasco,86213,BENJAMIN GOMEZ GALLARDO
159,Hospital Regional de Alta Especialidad del Bajío,2023272,FRESENIUS MEDICAL CARE DE MEXICO SA DE CV
160,Instituto Mexicano de Cinematografía,575837.72,ERIKA OREGEL ESPINOZA
161,Instituto Mexicano de Cinematografía,575837.72,URZULA CECILIA BARBA HOPFNER
162,Instituto Mexicano de Cinematografía,575837.72,GERARD MATES TORRES
163,Comisión Federal de Mejora Regulatoria,681381.8,VIAJES YESHUA SA DE CV
164,Instituto Mexicano de Cinematografía,50000,INSTITUTO SONORENSE DE CULTURA
165,Servicio de Administración Tributaria,679.99,DIEGO ALFREDO CEDA RAMOS
166,Instituto Nacional de Antropología e Historia,92220,CARLOS ALBERTO GARCIA OROZCO
168,Instituto Mexicano de Cinematografía,192258.04,MAURICIO SAENZ CANOVAS
169,Servicio de Administración Tributaria,152150.25,CORPORATIVO DIAMANTE DEL SURESTE SA DE CV
170,Procuraduría Federal de Protección al Ambiente,250559.99,MARIA NORIEGA  CAMPERO
171,delegación SEDESOL en Tabasco,12128.96,MIGUEL ANGEL CERON SILVAN
172,delegación SEDESOL en Tabasco,12618.77,EDWIN ANTONIO ESPINOZA ZAMUDIO
173,Servicio de Administración Tributaria,18192.28,SOL-PRASSY S DE RL DE CV
174,Servicio de Administración Tributaria,1459.99,ELECTRICA MAKALU SA DE CV
175,Servicio de Administración Tributaria,8704.84,ESTACION DE SERVICIO LOS PINOS SA DE CV
176,Servicio de Administración Tributaria,7880,ESTACION DE SERVICIO LOS PINOS SA DE CV
177,Servicio de Administración Tributaria,7782.92,ESTACION DE SERVICIO LOS PINOS SA DE CV
178,Servicio de Administración Tributaria,302.64,SOL-PRASSY S DE RL DE CV
179,delegación Federal en el Estado de Quintana Roo,16240,TRES EN CONSULTORIA Y TECNOLOGIAS SA DE CV
180,delegación Federal en el Estado de Quintana Roo,22200,SISTEMAS OCULTOS DE SEGURIDAD S C
181,delegación Federal en el Estado de Quintana Roo,92800,GRUPO YUVIKS SA DE CV
182,delegación SEDESOL en Tabasco,17597,CONSORCIO LEMON SA DE CV
183,delegación SEDESOL en Tabasco,1919,JOEL RAMIREZ DOMINGUEZ
184,delegación SEDESOL en Tabasco,19404,AGRUPACION DE SEGURIDAD PRIVADA PATRIMONIAL SA DE CV
186,Instituto Mexicano de Cinematografía,57940.72,JOSE MIGUEL ALVAREZ IBARGUENGOITIA
187,Servicio de Administración Tributaria,559.68,HIDROGAS DE AGUA PRIETA SA DE CV
188,Servicio de Administración Tributaria,28798.94,SERVICIO POSTAL  MEXICANO
189,Servicio de Administración Tributaria,19736.23,"DE NOGALES SONORA ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE , ALCANTARILLADO Y SANEAMIENTO"
190,Servicio de Administración Tributaria,20587.98,"DE NOGALES SONORA ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE , ALCANTARILLADO Y SANEAMIENTO"
191,Servicio de Administración Tributaria,5527.58,"DE NOGALES SONORA ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE , ALCANTARILLADO Y SANEAMIENTO"
192,delegación SEDESOL en Tabasco,247.5,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
193,Servicio de Administración Tributaria,9537.61,"DE NOGALES SONORA ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE , ALCANTARILLADO Y SANEAMIENTO"
194,Servicio de Administración Tributaria,12981.42,SERVICIO POSTAL  MEXICANO
195,Comisión Nacional de Seguros y Fianzas,6403774.85,"OPERBES, S.A. DE C.V."
196,Servicio de Administración Tributaria,46400,CARMEN ELENES ANGULO
197,delegación SEDESOL en Tabasco,25844,CONSORCIO LEMON SA DE CV
198,Servicio de Administración Tributaria,10863.71,"DE NOGALES SONORA ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE , ALCANTARILLADO Y SANEAMIENTO"
199,Servicio de Administración Tributaria,13142.8,PROVEEDOR ELECTRICO DEL ATLANTICO SA DE CV
200,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,2971.16,MANUEL GUADALUPE MASSA RAMOS
201,Servicio de Administración Tributaria,3175.57,DISTRIBUIDORA DE PINTURAS MONROY SA DE CV
202,Hospital Regional de Alta Especialidad del Bajío,1041700.97,CUSTOM THINK INFORMATION SYSTEMS S DE RL DE CV
203,Comisión Nacional de Seguros y Fianzas,1676080,A&A PROFESSIONAL GROUPS & MEETING S.A. DE C.V.
204,Servicio de Administración Tributaria,499.32,HIDROGAS DE AGUA PRIETA SA DE CV
205,Servicio de Administración Tributaria,505.89,HIDROGAS DE AGUA PRIETA SA DE CV
206,Servicio de Administración Tributaria,34.8,OPERADORA DE TIENDAS VOLUNTARIAS SA DE C
207,Servicio de Administración Tributaria,560.86,OPERADORA DE TIENDAS VOLUNTARIAS SA DE C
208,Servicio de Administración Tributaria,13376.7,OPERADORA DE TIENDAS VOLUNTARIAS SA DE C
209,Servicio de Administración Tributaria,600.47,HIDROGAS DE AGUA PRIETA SA DE CV
211,Servicio de Administración Tributaria,600.47,HIDROGAS DE AGUA PRIETA SA DE CV
212,Servicio de Administración Tributaria,616.71,HIDROGAS DE AGUA PRIETA SA DE CV
213,Servicio de Administración Tributaria,594,HIDROGAS DE AGUA PRIETA SA DE CV
214,Servicio de Administración Tributaria,3456.29,COEL SA DE CV
215,delegación SEDESOL en Tabasco,43500,AGRUPACION DE SEGURIDAD PRIVADA PATRIMONIAL SA DE CV
216,Servicio de Administración Tributaria,7238.4,REDPACK SA DE CV
217,delegación SEDESOL en Tabasco,46243,CONSORCIO LEMON SA DE CV
218,delegación SEDESOL en Tabasco,49818,CONSORCIO LEMON SA DE CV
219,delegación SEDESOL en Tabasco,5000,MIGUEL ANGEL CERON SILVAN
221,delegación SEDESOL en Tabasco,62904,AGRUPACION DE SEGURIDAD PRIVADA PATRIMONIAL SA DE CV
222,Instituto Mexicano de Cinematografía,219028.64,ESTUDIOS CHURUBUSCO AZTECA SA
224,delegación en Guanajuato,4527.61,"AXTEL, S.A.B. DE C.V."
225,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,16165.76,GRUPO DE SERVICIOS SIESA SA DE CV
226,delegación SEDESOL en Tabasco,849.8,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
228,Comisión Nacional del Agua,60320,EMC CUALITY S. DE R.L. DE C.V.
229,Centro SCT Sonora,99862327.74,COMPAÑÍA CONSTRUCTORA MAS S.A. DE C.V.
230,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,3500000,UBM MEXICO EXPOSICIONES SAPI DE C.V.
231,Comisión Nacional del Agua,415931.97,AEROSOLUCIONES INTERNACIONALES S.A. DE C.V.
234,Servicio de Administración Tributaria,235230.6,BALANDRANO INK SA DE CV
235,Servicio de Administración Tributaria,107430.52,MET LIMPIEZA SA DE CV
236,Comisión Nacional del Agua,71881.26,ATYT COMUNICACIONES DIGITALES S DE RL DE CV
237,Comisión Nacional del Agua,7392.56,ARCILLA LABS S DE RL MI
238,Servicio de Administración Tributaria,487537.57,SERVICIOS INDUSTRIALES E INSTITUCIONALES
239,Servicio de Administración Tributaria,85768.88,AEROVIAS DE MEXICO SA DE CV
240,delegación SEDESOL en Tabasco,1075.85,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
241,Servicio de Administración Tributaria,413401.54,MANTENIMIENTOS ESPECIALIZADOS DE TAMPICO SA DE CV
242,Comisión Nacional de Acuacultura y Pesca,99110.4,ADRIANA MARTINEZ  BORBOLLA
243,Servicio de Administración Tributaria,1740,AEROVIAS DE MEXICO SA DE CV
244,Servicio de Administración Tributaria,12780,HIELOS DE PALENQUE SA  DE CV
246,Comandancia de la Fuerza Aérea Mexicana,586862.38,PARTES AEREAS CONCORDE  S A  DE C V
247,Comisión Nacional de Seguros y Fianzas,104669.65,"ESTRATEC, S.A. DE C.V."
248,Servicio de Administración Tributaria,319504.34,KEY QUIMICA SA DE CV
249,Dirección General de Educación Militar y Rectoría de la Universidad del Ejército y Fuerza Aérea,1805417.04,RUBEN ORTEGA GARCIA
250,Servicio de Administración Tributaria,100688,QUICK SHINE CLEANING SERVICE SA DE CV
251,Servicio de Administración Tributaria,109132.8,GUARD PRIVATE SECURITY ELITE DE MEXICO SEMEP SA DE CV
252,Instituto Mexicano de Cinematografía,30160,DEMOS DESARROLLO DE MEDIOS SA DE CV
253,Servicio de Administración Tributaria,463633.42,ASESORIA CORPORATIVA EMPRESARIAL DE LA PENINSULA SA DE CV
255,Comisión Nacional de Acuacultura y Pesca,2256175.58,SEGUROS BANORTE GENERALI S.A. DE C.V. GFB
256,Consejo Nacional de Evaluación de la Política de Desarrollo Social,5295982.99,PREDICTIVE ANALYTICAL SOFTWARE AND SOLUTIONS S.A. DE C.V.
257,Servicio de Administración Tributaria,1010019.77,EULEN MEXICO DE SERVICIOS SA DE CV
258,Instituto Nacional de Medicina Genómica,10718.4,CARMA REPRESENTACIONES SA DE CV
259,Jefatura del Estado Mayor de la Defensa Nacional,2900,MARIANADXELLINICOL FOLCH VIADERO
260,Comisión Nacional del Agua,74000,HERIBERTO RAMOS RODRIGUEZ
261,Comisión Nacional de Acuacultura y Pesca,20880,LAVADORES TECNICOS SA DE CV
262,delegación en Quintana Roo,13920,ARMANDO GARCIA  MONJE
263,delegación en Sinaloa,4862.94,PROFESIONALES EN MANTENIMIENTO Y LIMPIEZA SA DE CV
264,Instituto Nacional de Bellas Artes y Literatura,4101.02,SEGUROS INBURSA SA GRUPO FINANCIERO INBURSA
265,delegación en San Luis Potosí,157003.94,EDENRED MEXICO SA DE V
266,"Hospital General de México ""Dr. Eduardo Liceaga""",324844.08,JUAMA SA DE CV
267,Centro Nacional de Metrología,0,COSME OLVERA ALONSO
268,Servicios a la Navegación en el Espacio Aéreo Mexicano,314650,LIMPIEZA Y RECICLADOS DEL BAJIO S.A. DE C.V.
269,delegación Federal en el Estado de Guerrero,156265.92,PINEDA PINEDA RICARDO
270,Instituto Nacional de Bellas Artes y Literatura,36503.47,CHARLEEN DURAN AURELLO
271,Instituto Nacional de Bellas Artes y Literatura,0,ARTMEX VIAJES SA DE CV
272,Comandancia de la Fuerza Aérea Mexicana,137148.91,"LASSTECH CORP, S.A. DE C.V."
273,delegación SEDESOL en Zacatecas,21700,GAS ISLO 2000  S.A. DE C.V.
274,Instituto Nacional para la Educación de los Adultos,328840,BITAIRE SA DE CV
275,Instituto Nacional de Pesca,16612.45,CESAR IVAN NAVARRO BOJORQUEZ
276,Centro de Enseñanza Técnica Industrial,9326.4,CONTRERAS ALARCON FERNANDO ENRIQUE
278,Instituto Nacional de Bellas Artes y Literatura,0,SERGIO ALONSO RAMIREZ VALENCIA
279,Servicio de Administración Tributaria,2003.84,JOSE INES SOTO OCHOA
281,Comandancia I Región Militar,3050123.59,CADECO  S. A.  DE C. V.
282,Televisión Metropolitana S.A. de C.V.,83297.67,EDUARDO IVAN  SANCHEZ  TORRE
284,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,26100,PERLA SONIA MEDINA AGUILAR
285,delegación en la Región Lagunera,42943.43,GILBERTO ESTRADA VAZQUEZ
286,Instituto Nacional de Bellas Artes y Literatura,12167.83,ARTURO SALAZAR CANUTO
287,delegación Federal del Trabajo en Quintana Roo,252376.56,OPERADORA BARCINO S.A. DE C.V.
288,delegación en Guerrero,13535.46,XOCHITL GOMEZ TERAN
289,delegación en Yucatán,9108.73,BLANCA FLOR NOH LOPEZ
290,delegación en Guanajuato,1047714.9,EDENRED MEXICO SA DE V
291,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,75603,POLANCO HERMANOS SA DE CV
292,Servicio de Administración Tributaria,109498.2,VALET PERSONALIZADO EN CUSTODIA EMPRESARIAL VAPE SA DE CV
293,Comisión Nacional de Áreas Naturales Protegidas,1283140.74,LIMPIEZA & MANTENIMIENTO LIMI DEL VALLE DE OAXACA SA DE CV
294,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,65922.28,ECLECSIS SINERGIA Y TECNOLOGIA S. DE R.L. DE C.V.
295,delegación en Durango,66339.8,PATRICIA GASPAR MARTINEZ
296,Comisión Nacional del Agua,556088.24,SUPERVISION Y CONSTRUCCIONES MODELO SA DE CV
297,delegación SEDESOL en Tabasco,144325.16,COMITE DE APOYO PARA LA ADMINISTRACION DE INMUEBLE FEDERAL SCT SEDESOL VILLAHERMOSA
298,Dirección General de Investigación y Desarrollo,99358.41,MARO PROYECTOS Y CONSULTORIA S.A. DE C.V.
299,Dirección General de Comunicación Social,254158.89,"ISA TV, S.A. DE C.V."
300,Servicio de Administración Tributaria,191502.06,CORPORATIVO DIAMANTE DEL SURESTE SA DE CV
302,Tribunal Federal de Conciliación y Arbitraje,415872.76,COMERCIALIZADORA CRITZVAL S.A. DE C.V.
303,Dirección General de Fábricas de Vestuario y Equipo,814640.16,"TEL CO TEXTIL, S.A. DE C.V."
304,Dirección General de Fábricas de Vestuario y Equipo,44660,INDUSTRIAS CERTANIUM S.A. DE C.V.
305,Dirección General de Fábricas de Vestuario y Equipo,57611.4,COATS DE MEXICO  S A  DE C V
306,Dirección General de Recursos Humanos,169572.74,SAS INSTITUTE S. DE R.L. DE C.V.
307,Comisión Nacional del Agua,70992,PRO AGUA  S.A. DE C.V.
308,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",90909.94,OPERADORA REAL DEL RIO S DE R L DE C V
310,Comisión Nacional del Agua,500000,BBMUNDO DIRECT SA DE CV
311,Comisión Nacional del Agua,7000000,MUNDO VET COMERCIAL S.A. DE C.V.
312,Archivo General de la Nación,0,PRIETO RUIZ DE VELASCO Y COMPAÑÍA
313,Dirección General de Intendencia,19116.8,"FABRICA DE MUEBLES DE ACERO INOXIDABLE EXPORT, S.A. DE C.V."
